Timestamp,Protocol,Local_Address,Remote_Address,Status
2026-03-17 12:24:10,TCP,127.0.1.1:8050,127.0.0.1:63665,ESTABLISHED
2026-03-17 12:24:10,TCP,127.0.0.1:63665,127.0.1.1:8050,ESTABLISHED
2026-03-17 12:24:20,TCP,127.0.0.1:63690,127.0.0.1:5796,ESTABLISHED
2026-03-17 12:24:20,TCP,127.0.0.1:5796,127.0.0.1:63690,ESTABLISHED
2026-03-17 12:24:22,TCP,127.0.0.1:63698,127.0.1.1:8050,ESTABLISHED
2026-03-17 12:24:22,TCP,127.0.1.1:8050,127.0.0.1:63698,ESTABLISHED
2026-03-17 12:24:27,TCP,127.0.0.1:50062,127.0.1.1:8050,ESTABLISHED
2026-03-17 12:24:27,TCP,127.0.1.1:8050,127.0.0.1:50062,ESTABLISHED
2026-03-17 12:24:36,TCP,192.168.16.235:50081,140.82.114.21:443,ESTABLISHED
2026-03-17 12:24:46,TCP,127.0.0.1:50103,127.0.1.1:8050,ESTABLISHED
2026-03-17 12:24:46,TCP,127.0.1.1:8050,127.0.0.1:50103,ESTABLISHED
2026-03-17 12:24:53,TCP,192.168.16.235:50115,142.250.193.170:443,ESTABLISHED
2026-03-17 12:24:53,TCP,192.168.16.235:50116,140.82.114.21:443,ESTABLISHED
2026-03-17 12:24:59,TCP,192.168.16.235:50130,76.223.92.165:443,ESTABLISHED
2026-03-17 12:24:59,TCP,192.168.16.235:50129,13.248.212.111:443,ESTABLISHED
2026-03-17 12:25:06,TCP,127.0.1.1:8050,127.0.0.1:63851,ESTABLISHED
2026-03-17 12:25:06,TCP,127.0.0.1:63851,127.0.1.1:8050,ESTABLISHED
2026-03-17 12:25:09,TCP,127.0.1.1:8050,127.0.0.1:52662,ESTABLISHED
2026-03-17 12:25:09,TCP,127.0.0.1:52662,127.0.1.1:8050,ESTABLISHED
2026-03-17 12:25:09,TCP,127.0.1.1:8050,127.0.0.1:52663,ESTABLISHED
2026-03-17 12:25:09,TCP,127.0.0.1:52663,127.0.1.1:8050,ESTABLISHED
2026-03-17 12:25:12,TCP,10.1.2.45:52667,20.195.84.7:443,ESTABLISHED
2026-03-17 12:25:12,TCP,10.1.2.45:52671,76.223.92.165:443,ESTABLISHED
2026-03-17 12:25:12,TCP,10.1.2.45:52673,23.205.101.73:80,ESTABLISHED
2026-03-17 12:25:13,TCP,10.1.2.45:57494,34.107.221.82:80,ESTABLISHED
2026-03-17 12:25:13,TCP,10.1.2.45:57488,34.120.208.123:443,ESTABLISHED
2026-03-17 12:25:13,TCP,10.1.2.45:52674,72.145.35.105:443,ESTABLISHED
2026-03-17 12:25:13,TCP,10.1.2.45:49432,4.213.25.241:443,ESTABLISHED
2026-03-17 12:25:13,TCP,10.1.2.45:57490,34.107.221.82:80,ESTABLISHED
2026-03-17 12:25:13,TCP,10.1.2.45:57487,15.197.213.252:443,ESTABLISHED
2026-03-17 12:25:14,TCP,10.1.2.45:57493,52.253.84.76:443,ESTABLISHED
2026-03-17 12:25:15,TCP,10.1.2.45:57504,23.220.98.50:443,ESTABLISHED
2026-03-17 12:25:16,TCP,10.1.2.45:54384,34.107.243.93:443,ESTABLISHED
2026-03-17 12:25:16,TCP,10.1.2.45:57500,13.107.6.158:443,ESTABLISHED
2026-03-17 12:25:17,TCP,10.1.2.45:60187,34.107.243.93:443,ESTABLISHED
2026-03-17 12:25:17,TCP,10.1.2.45:54380,74.125.68.188:5228,ESTABLISHED
2026-03-17 12:25:17,TCP,10.1.2.45:63242,74.125.68.188:5228,ESTABLISHED
2026-03-17 12:25:18,TCP,10.1.2.45:52664,142.250.193.170:443,ESTABLISHED
2026-03-17 12:25:18,TCP,10.1.2.45:60184,140.82.114.26:443,ESTABLISHED
2026-03-17 12:25:19,TCP,10.1.2.45:63243,10.1.13.38:8009,ESTABLISHED
2026-03-17 12:25:21,TCP,10.1.2.45:58795,199.232.101.91:443,ESTABLISHED
